"turtle.id","radio.id","sex","cl","pl","wt","year","month","season","dx","dy","dist","dt","dailyDist"
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",14.7242753750761,-39.0682593416423,41.7508463783297,306360,11.7746217753221
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",0.0418962835101411,2.21577138826251,2.2161674448504,308040,0.621597413436808
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",0.0418962835101411,2.21577138826251,2.2161674448504,308160,0.62135535836927
"56","56_173.604","F",131.1,115.1,250,"2020","July","2020 Wet Season",1.84661321085878,6.6147714741528,6.86769116994815,309240,1.91879613595757
"61","61_172.215","F",131.3,113.8,255,"2020","July","2020 Wet Season",-16.612206922553,30.2378384321928,34.5006129204847,311460,9.57058035166595
"58","58_173.514","J",97.7,84.5,144,"2020","July","2020 Wet Season",-1.54295034473762,8.89544438617304,9.02826819461093,308760,2.52637120097935
"32","32_172.454","J",77.1,63.9,77,"2020","July","2020 Wet Season",3.49433972738916,3.25874889316037,4.77805969814988,310860,1.32800732780078
"63","63_172.043","F",131.4,117.1,287,"2020","July","2020 Wet Season",-20.5884487087606,1.49776618368924,20.642856482916,312480,5.70770225334083
"62","62_172.325","J",93.5,89.2,111,"2020","July","2020 Wet Season",-6.90485016105231,-2.08594056311995,7.21305093420622,310500,2.00710982517043
"24","24_172.254","F",127,111.7,261,"2020","July","2020 Wet Season",-1.54304664267693,8.89542856765911,9.02826906687003,295380,2.64080996471518
"18","18_173.405","F",118.7,102.7,205,"2020","July","2020 Wet Season",-11.7535715001286,14.629891670309,18.7664640594229,295800,5.48148240275233
"23","23_172.476","J",89,74.7,87,"2020","July","2020 Wet Season",-10.0954945897101,11.2736950344406,15.1332485190866,294840,4.43465158068473
"37","37_173.415","F",127.7,108.8,261,"2020","July","2020 Wet Season",4.37740953953471,-41.089191976469,41.321706300151,294960,12.1039985907684
"25","25_173.435","F",141.2,116.6,329,"2020","July","2020 Wet Season",3.32680652453564,-5.6043124073185,6.51735829999525,295380,1.90635708957814
